,Unnamed: 0,tur,Body,REASON,WHY,Labels
0,0,spam,"
open(""http://www.cn1688.net/girls/"")
click here to see more
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",indecent,,"spam,indecent,"
222,222,spam,This is a multi-part message in MIME format.,irrelevant,,"spam,irrelevant,"
469,469,ham,"I have to say I was surprised about Jacko dangling that kid of the
balcony.
Usually he just tosses them off...

Boomboom.

D


To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ ",normal,,"ham,normal,"
1920,1920,spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,scam,,"spam,scam,"
1,1,spam,"We sent our photographer into the biker parties. He got pictures of the
bikes & lifestyle but mostly he got pictures of the biker girls. Some sexy & a lot nude.

We burned these pictures to a disk and now they are available on disk for you to view on your own computer. The parties are wild and so are the pictures. Over 190 pictures on the disk and the 29.99 price also includes express shipping!!!!

These pictures are uncensored so do not request any more information if you are not at least 18.

For an order type ""order form"" in the subject and reply to:

BikeDisk@excite.com

To be removed from our mailing type ""nobikers"" in the subject and reply to:

NoBikesToday@excite.com",indecent,sexual content,"spam,indecent,sexual content"
2,2,spam,"
I have been receiving emails saying that I'm contributing to the ""moral decay of society"" by selling the Banned CD.  That may be, but I feel strongly that you have a right to benefit from 
this hard-to-find information. 

So I am giving you ONE LAST CHANCE to order the Banned CD! 

With this powerful CD, you will be able to investigate your friends, enemies and lovers in just minutes using the Internet.  You can track down old flames from college, or you can dig up some dirt on your boss to make sure you get that next advertisement! 
  

Or maybe you want a fake diploma to hang on your bedroom wall.  You'll find addresses for companies that make these diplomas on the Banned CD. 

Need to disappear fast and never look back?  No problem! 
Using the Banned CD, you will learn how to build a completely 
new identity. 

Obviously, the Powers That Be don't want you to have the Banned CD.  They have threatened me with lawsuits, fines, and even imprisonment unless I stop selling it immediately. But I feel that YOU have a Constitutional right to access this type of information, and I can't be intimidated. 


 Uncle Sam and your creditors are horrified that I am still selling this product!  There must be a price on my head! 

Why are they so upset? Because this CD gives you freedom. 
And you can't buy freedom at your local Walmart.  You will 
have the freedom to avoid creditors, judgments, lawsuits, IRS 
tax collectors, criminal indictments, your greedy ex-wife or 
ex-husband, and MUCH more!

Please Click the URL for the Detail! 

http://%62a%6E%6E%65d%63%64.%6E%65%74 ",indecent,illegal activities,"spam,indecent,illegal activities"
3,3,spam,"Do you owe money? Is it getting troublesome keeping track of all those bills and whom you owe how much and when? Would it not be easier if you could just make 1 monthly payment instead of several? We can help! If your debts are $4,000 US or more and you are a United States citizen, you can consolidate your debt into just one easy payment! You do not have to own a home, nor do you need to take out a loan. Credit checks are not required!

To receive more information regarding our services, please fill out the form below and return it to us, or provide the necessary information in your response. There are absolutely no obligations. All the fields below are required for your application to be processed.

**********
Full Name :
Address :
City :
State :
Zip Code :
Home Phone :
Work Phone :
Best Time to Call :
E-Mail Address :
Estimated Debt Size :
**********

Please allow upto ten business days for application processing. Thank You

Note: If this e-mail arrived to you by error, or you wish to never receive such advertisements from our company, please reply to this e-mail with the word REMOVE in the e-mail subject line. We apologize for any inconveniences",indecent,illegal activities,"spam,indecent,illegal activities"
4,4,spam,"Best prescription generic meds 4 less.

now your woman will be really happy with your intimate life!

our critics are our friends; they show us our faults.

my fellow astronauts... once they were men. now they are land crabs.

beauty fades; dumb is forever.",indecent,sexual content,"spam,indecent,sexual content"
5,5,spam,"Hallo,   

Wir haben uns schon ziemlich lange nicht mehr gesehen, da ich ja nur noch Zeit für meine Freundin hatte. Damit ist jetzt Schluss. Alex hat mich sitzen lassen. Du erhältst dieses Mail, weil ich dir mal zeigen will, wie die Kleine wirklich so drauf ist. Ich hab jetzt vor lauter Wut eine eigene Homepage gebastelt, da kannst du mal was sehen: http://alexandra.hobby.privatseite.to

Wie findest du das?

LG
Peter",indecent,sexual content,"spam,indecent,sexual content"
6,6,spam,"Wanna see sexually curious teens playing with each other?http://www.site-personals.com <-- click here=)me and my horny girlfriends are waiting for you... we are probably eating each other out on webcam in our dormitory as ur reading this! (inbetween classes of course *wink*)see you soon baby,
-Veronica
mcmfkhcpedgetqj",indecent,illegal activities,"spam,indecent,illegal activities"
7,7,spam,"Now your woman will be really happy with your intimate life !
Viagra shipped privately and discreetly to your door . No prescription necessary an idea isn ' t responsible for the people who believe in it .
the secret of being boring is to say everything . Necessity knows no law .",scam,sexual content,"spam,scam,sexual content"
8,8,spam,"Which Muppet Are You?  

Hey,

It’s not easy being green—Leslie Ellen Jones, Ph.D., Jack of All Trades and Doctor of Folklore, certainly knows that! Truth is, Flann O’Brien had some interesting thoughts on the matter.

In a recent message from Dino, he mentioned an intriguing topic related to “ZZZZTeana.” I was curious to know, which Muppet are you? I’d say Kermit’s a bit boring—what about Rizzo? He’s the coolest in my book!

Feel free to join the conversation or unsubscribe if you prefer.

To unsubscribe from this group, send an email to: [forteana unsubscribe URL]

Best regards,
[Your Name]

P.S. Non-text portions of this message have been removed. Yahoo Groups Sponsor: [Number DVDs Free] [Join Now URL]
",indecent,illegal activities,"spam,indecent,illegal activities"
9,9,spam,"Attract Women and Men Instantly                                                                                                                                                                                                                     
S e x u a l l y attract with nature's secret weapon... Pheromones!!

Invisible and undetectable, when unknowingly inhaled, Pheromone Concentrate unblocks all restraints and releases the raw animal s e x drive!

This is the strongest concentration of HUMAN Pheromones, allowed by law, in an essential oil base.

Available in formulas for both men and women.

To learn more: CLICK HERE TO ATTRACT",indecent,sexual content,"spam,indecent,sexual content"
10,10,spam,"You don't satisfy me                                                                                                                                                                                                                   

A man with a 7-8 inch ""tool"" is claimed to be better equipped than one with a 5-6 inch tool. Would you rather have more than enough to get the job done or fall short? It's completely up to you. Our methods are guaranteed to increase your size by 1-3 inches. Click here to learn how.",indecent,sexual content,"spam,indecent,sexual content"
11,11,spam,"
SEE a Teen Farm Girl Do it with her horse see it Free!
You think you have seen some pretty crazy p*rn on the 
internet?YOU HAVEN'T SEEN SH*T! I saw the most unbelievable 
movie clip ever to grace the internet! These guys put up a 
clip of a beautiful teen farm girl who actually f*cks her horse!
NO BULLSHIT,SHE ACTUALLY F*CKS A HORSE WITH A 31 INCH C*CK!
http://www.netvisionsenterprises.com/lpz/
wz^argabgrvap(pbz",indecent,illegal activities,"spam,indecent,illegal activities"
12,12,spam,Young sluts had sex for tewnty bucks buenos noches ! ta llueu,indecent,sexual content,"spam,indecent,sexual content"
13,13,spam,"Would you like to look and feel 10-20 years younger? Would you be interested in increasing energy levels by 84%? How about increasing sexual potency by 75%? Would you like to increase your muscle strength by 88% while simultaneously reducing body fat by 72% and wrinkles by 51%?

Of course, you would! We offer the most potent oral GH formula available to help you achieve all of this and more! Turn back the clock and turn up the energy now!

In thousands of clinical studies, GH has been shown to accomplish the following:

Reduce body fat and build lean muscle without exercise!
Enhance sexual performance
Remove wrinkles and cellulite
Lower blood pressure and improve cholesterol profile
Improve sleep, vision, and memory
Restore hair color and growth
Strengthen the immune system
Increase energy and cardiac output
Turn back your body's biological time clock 10-20 years in 6 months of usage!
Here is a sample of just a few of the letters we receive every week thanking us for what our product has done: ""I am astounded! The day before I started taking GH1, I took blood tests. Then I began using GH1 as directed. After 8 weeks I took blood tests again. My IGF-1 level (evidence of GH) showed a 70% increase! Furthermore, my cholesterol score went from 190 down to 144! I definitely feel better overall and certainly have more energy. To say the least I am very impressed and pleased with GH1. My 'biological' age is now that of a 40-year-old!"" - Dr. A. Zuckerman M.D., age 60, NY

""A year ago, my blood pressure was 180/120 and I was on blood pressure medication. I also started the Anti-Aging formula, GH1. After a year on the product, my blood pressure is now 120/80—and I haven't been on the blood pressure medication for months!"" - Susanne Peters, Laguna Beach, CA

""After 2 weeks on Anti-Aging Formula GH1, I noticed a higher level of energy, increased sexual energy, and my memory and vision were enhanced. My blood pressure is down to 126/84 after a workout—and it seems every other day I have to 'rev-up' the amps on the treadmill at the gym. I've noticed a tightening of the skin under my chin and a change in my lungs with much easier breathing. After 4 months, I only need 5 hours of sleep instead of 7. One morning, I had to do an extra karate workout just to expend all the extra energy!"" - Anonymous",indecent,sexual content,"spam,indecent,sexual content"
14,14,spam,"
the permanent fix to penis growth
limited offer :
add atleast 4 inches or get your money back !
- - - - > visit us to learn more
no more offers",indecent,sexual content,"spam,indecent,sexual content"
15,15,spam,"Hi Varou,

Majestic RX How quickly does it work? I take 50 mg 15 minutes before making love, and now I can spend hours with foreplay without worrying if I'm going to go soft or lose interest.

We have a global network of health professionals with one common goal: to provide a convenient, globally accessible, affordable, and safe means of acquiring the latest drugs available for all. No embarrassment—prescriptions are always confidential. Visit us today.

Best regards,
Altha Woodring",indecent,illegal activities,"spam,indecent,illegal activities"
16,16,spam,"Get Free Sports, Free XXX Movies, Free Pay-Per-View, and More!

Now you can program your satellite system to receive all channels for free! This includes Direct TV, Dish Network, and Gla. Our satellite programming package includes everything you need to program your system easily.

The software is simple to use, taking less than 5 minutes to set up your satellite system. Companies typically charge up to $600 for this service, with additional fees of $100 each time your card needs to be reset. Now, you can do it yourself for only $99.00.

Email us for order information.",indecent,illegal activities,"spam,indecent,illegal activities"
17,17,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,indecent,sexual content,"spam,indecent,sexual content"
18,18,spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,indecent,sexual content,"spam,indecent,sexual content"
19,19,spam,"Selling Wedded Bliss 3K is utter shite.

3k is a number that probably sounds good to some closted  homophobe with
secret desires to be ""belle of the balls"". Twinks dinks and dorks, this
thread sounds to me like someone needs a little luvin.


",indecent,sexual content,"spam,indecent,sexual content"
20,20,spam,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,indecent,sexual content,"spam,indecent,sexual content"
21,21,spam,"Nikki Sent You A MessageNikki sent you a message.

""Check Out My Site And Find Hot Girls In Your Area Free !""

http://Nikki.nailhotgirls.com
To reply to this message, follow the link below:
http://www.facebook.com/n/?inbox/readmessage.php


",indecent,sexual content,"spam,indecent,sexual content"
22,22,spam,"This Week Only: Free Generic Viagra
Cover the shipping, and we'll send you our product at no cost to prove its effectiveness.
Won't last... hurry.

Stop promos.",scam,sexual content,"spam,scam,sexual content"
23,23,spam,"Mother Natures all Natural Marital Aid for Men and Women - Your's Risk Free!
The all natural safe formula for men and women your's risk free for 30 days. Mother Nature's wonder pill of the 21st century.
Increased SensationIncreased Frequency
Increased PleasureIncreased Desire
Increased StaminaIncreased Libido
Both male and female formulas!
Order Your  Trial Today !
to depart from further contacts
visit heretimc",indecent,sexual content,"spam,indecent,sexual content"
24,24,spam,[spam] [SPAM]  She'll never be disappointedWant to beat your neighbours in love marathon? http://dlbvud.yergivan.cn/,indecent,sexual content,"spam,indecent,sexual content"
25,25,spam,"Kingwood Cove - 2 Play ""For"" $20

Thanks for being a part of our email offers club!
2 Play for $20 - includes cart & green fee!
Monday thru Friday - 10 AM to 3 PM
Expires 8/31/00

Print out and present this email offer the day of play.
Not valid with any other offers.

This offer expires August 31, 2000

Playing partner's email addresses: (optional)
Player 1: ________@
Player 2: ________@
Player 3: ________@
Player 4: ________@

Visit: http://www.ttimeonline.com/index.html
to view more free golf offers & advertisements!
",indecent,illegal activities,"spam,indecent,illegal activities"
26,26,spam,"
18 - 21 YR. OLD CHICKS ARE SO HORNY!NASTY AMATEURS TAKING CUM SHOTS, HUGE COCKS, ANAL POUNDINGS, & MUCH MORE! 
YOUNG AND FRESH -----> JUST A CLICK AWAY!  GET THEM NOW! FOR FREE!CLICK HERE FOR THE GIRLS OF YOUR DREAMS!REMEMBER THIS IS A FREE SITE SO HURRY!
Click here to unsubscribe.",indecent,sexual content,"spam,indecent,sexual content"
27,27,spam," In pain ? We have pain relievers that will help .
If you ' re in need of a good rx site for online purchases , we are your answer . With tens of thousands of happy customers who saved huge , you can ' t go wrong . lots more info here above url is for more info & if you are interested .",indecent,sexual content,"spam,indecent,sexual content"
28,28,spam,"Wanna see sexually curious teens playing with each other URL click here me and my horny girlfriends are waiting for you we are probably eating each other out on webcam in our dormitory as ur reading this inbetween classes of course wink see you soon baby 
veronica 
mcmfkhcpedgetqj ",indecent,sexual content,"spam,indecent,sexual content"
29,29,spam,FREE FREE FREE!                                                                                                                                                                                                                                                                                                                                          Thats right free unlimited web cam feeds! - chat! - pictures! - videos! -   ALL FREE!!! YOU PAY NOTHING!!! NOT ONE CENT! - This is a limited time offer because these gitls can't work for free so hurry up and click this link! http://teensforfree.cjb.net  ,indecent,illegal activities,"spam,indecent,illegal activities"
30,30,spam,"FREE SERVICE
 

Mortgage rates have NEVER been lower.

Is your credit good? Get a loan beyond your wildest expectations!

CLICK HERE

Your credit stinks? Lenders will still give you an absolutely amazing loan.

CLICK HERE

Just click here and get started.
Absolutely FREE Quote.

CLICK HERE for quick details!
",scam,investment,"spam,scam,investment"
31,31,spam,"this is the postfix program at host cenesp.santistatextil.com.br.
i'm sorry to inform you that your message could not be delivered to one or more recipients. it's attached below.
for further assistance, please send mail to
if you do so, please include this problem report. you can delete your own text from the attached returned message.
the postfix program: unknown user: ""antonio_sanches""",indecent,illegal activities,"spam,indecent,illegal activities"
32,32,spam,"You want some outright sex - don't you?

free prescription and viagra overnight delivery.
http://qxi.dagohevoa5d3hwd.dmshushhb.com

as he thinks in his heart, so he is.
only those who dare to fail greatly can ever achieve greatly.
he's simply got the instinct for being unhappy highly developed.
",indecent,sexual content,"spam,indecent,sexual content"
33,33,spam,"Still wanna her? :)

you have not tried cialls yet?
than you cannot even imagine what it is like to be a real man in bed!
the thing is that a great erection is provided for you exactly when you want.
cialis has a lot of advantages over viagra:

the effect lasts 36 hours!
you are ready to start within just 10 minutes!
you can mix it with alcohol!
shipping to any country available!
get it right now!",indecent,sexual content,"spam,indecent,sexual content"
34,34,spam,"our customers speak volumes about our spur m product.
""i just wanted to write and thank you for spur-m. i suffered from poor sperm count and motility. i found your site and ordered spur-m fertility blend for men. i have wondered for years what caused low semen and sperm count, and how i could improve my fertility and help my wife conceive. spur-m seems to have done just that! thank you for your support.""
— andrew h., london, uk

""spur-m really does help improve fertility and effectiveness of sperm and semen motility. i used it for the past few months, and not only does it work—I also feel better too. i have more energy. this is an excellent counter to low sperm count and motility. i’ll be buying more!!!""
— franz k., bonn, germany

http://findgoodstuffhere.com/spur/

for removing, pls go here
http://findgoodstuffhere.com/rm.php",indecent,sexual content,"spam,indecent,sexual content"
35,35,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,indecent,sexual content,"spam,indecent,sexual content"
36,36,spam,"10 minutes before sex , lasts for 24 - 36 hours
legal , prescription medications under the essential guidance of licensed medical
under every stone lurks a politician .
experience is the name everyone gives to their mistakes .
without music , life would be a mistake .",indecent,sexual content,"spam,indecent,sexual content"
37,37,spam,"He's Gone for the Night

You've got to check out my new site; somebody taught me how to upload them last night. I'm pretty new at this, but check them out and see what you think!

Pics are here! Just copy and paste the address below into your browser to visit us:
http://www.zagapony.com

Plz no more:
http://www.zagapony.com/getofflist/

Biennial Eden, Astral, Coney Goodrich, Deify, Turnabout, Romp, Soap, Mercenary, Catsup, Train, Cholinesterase, Paschal, Troublesome, Rhode, Crete, Levis, Saloonkeeper, Bray, Fashion.

",indecent,illegal activities,"spam,indecent,illegal activities"
38,38,spam,"your girl is unsatisfied with your potency ? don ' t wait until she finds another men !
click here to choose from a great variety of llcensed love t @ bs ! best pri $ es , fast shipping and guaranteed effect ! here you buy it riqht from warehouse !
the store is verifled by bbb and approved by visa !",indecent,sexual content,"spam,indecent,sexual content"
39,39,spam,"Cialis helps to have an erection when you need it.

We will not have peace by afterthought. Stay centered by accepting whatever you are doing. This is the ultimate.

You have to be deviant if you’re going to do anything new.
",indecent,sexual content,"spam,indecent,sexual content"
40,40,spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,indecent,sexual content,"spam,indecent,sexual content"
41,41,spam,"SEE a Teen Farm Girl Do it with her horse see it Free! You think you have seen some pretty crazy p*rn on the internet?YOU HAVEN'T SEEN SH*T! I saw the most unbelievable movie clip ever to grace the internet! These guys put up a clip of a beautiful teen farm girl who actually f*cks her horse! NO BULLSHIT,SHE ACTUALLY F*CKS A HORSE WITH A 31 INCH C*CK! http://www.netvisionsenterprises.com/lpz/ wz^argabgrvap(pbz",indecent,sexual content,"spam,indecent,sexual content"
